sofifa_id,short_name,long_name,nationality,club,team_position
203890,S. Vrsaljko,Šime Vrsaljko,Croatia,Atlético Madrid,SUB
237678,I. Konaté,Ibrahima Konaté,France,RB Leipzig,CB
226229,T. Kehrer,Thilo Kehrer,Germany,Paris Saint-Germain,RB
220182,J. Denayer,Jason Denayer,Belgium,Olympique Lyonnais,LCB
222331,L. Klostermann,Lukas Klostermann,Germany,RB Leipzig,RWB
225711,A. Diallo,Abdou Diallo,France,Paris Saint-Germain,SUB
226851,B. Pavard,Benjamin Pavard,France,FC Bayern München,SUB
220651,Angeliño,José Ángel Esmoris Tasende,Spain,Manchester City,SUB
216643,L. Dubois,Léo Dubois,France,Olympique Lyonnais,RB
231969,R. Malinovskyi,Ruslan Malinovskyi,Ukraine,Atalanta,SUB
204259,S. Arias,Santiago Arias Naranjo,Colombia,Atlético Madrid,SUB
166706,M. Škrtel,Martin Škrtel,Slovakia,Atalanta,SUB
185431,N. Kalinić,Nikola Kalinić,Croatia,Atlético Madrid,SUB
186569,S. Ulreich,Sven Ulreich,Germany,FC Bayern München,SUB
199715,Vitolo,Víctor Machín Pérez,Spain,Atlético Madrid,SUB
201325,C. Tătărușanu,Anton Ciprian Tătărușanu,Romania,Olympique Lyonnais,SUB
224221,J. Andersen,Joachim Andersen,Denmark,Olympique Lyonnais,RCB
227813,O. Zinchenko,Oleksandr Zinchenko,Ukraine,Manchester City,LB
227234,L. Tousart,Lucas Tousart,France,Olympique Lyonnais,CDM
207948,B. Traoré,Bertrand Traoré,Burkina Faso,Olympique Lyonnais,RW
220093,H. Hateboer,Hans Hateboer,Netherlands,Atalanta,RM
187598,Rafael Tolói,Rafael Tolói,Brazil,Atalanta,CB
202024,R. Freuler,Remo Freuler,Switzerland,Atalanta,RCM
202325,D. Demme,Diego Demme,Germany,RB Leipzig,SUB
169115,A. Masiello,Andrea Masiello,Italy,Atalanta,LCB
180334,Marcelo,Marcelo Antônio Guedes Filho,Brazil,Olympique Lyonnais,SUB
189681,Rafael,Rafael Pereira da Silva,Brazil,Olympique Lyonnais,SUB
208461,M. de Roon,Marten de Roon,Netherlands,Atalanta,LCM
229558,D. Upamecano,Dayotchanculle Upamecano,France,RB Leipzig,SUB
226166,N. Mukiele,Nordi Mukiele,France,RB Leipzig,RCB
232411,C. Nkunku,Christopher Nkunku,France,RB Leipzig,SUB
251573,Renan Lodi,Renan Augusto Lodi dos Santos,Brazil,Atlético Madrid,LB
223273,M. Pašalić,Mario Pašalić,Croatia,Atalanta,SUB
225375,K. Laimer,Konrad Laimer,Austria,RB Leipzig,SUB
216266,K. Tete,Kenny Tete,Netherlands,Olympique Lyonnais,SUB
201510,L. Kurzawa,Layvin Kurzawa,France,Paris Saint-Germain,SUB
174543,C. Bravo,Claudio Andrés Bravo Muñoz,Chile,Manchester City,SUB
207707,Marçal,Fernando Marçal de Oliveira,Brazil,Olympique Lyonnais,SUB
216065,M. Sportiello,Marco Sportiello,Italy,Atalanta,SUB
217196,J. Palomino,José Luis Palomino,Argentina,Atalanta,RCB
237692,P. Foden,Philip Foden,England,Manchester City,SUB
230899,A. Lookman,Ademola Lookman,England,RB Leipzig,SUB
232999,T. Adams,Tyler Adams,United States,RB Leipzig,SUB
222501,T. Castagne,Timothy Castagne,Belgium,Atalanta,LM
211515,P. Gollini,Pierluigi Gollini,Italy,Atalanta,GK
236786,M. Terrier,Martin Terrier,France,Olympique Lyonnais,SUB
238463,A. Haidara,Amadou Haidara,Mali,RB Leipzig,SUB
225713,J. Augustin,Jean-Kévin Augustin,France,RB Leipzig,SUB
206003,Y. Mvogo,Yvon Mvogo,Switzerland,RB Leipzig,SUB
215798,M. Cornet,Maxwel Cornet,Ivory Coast,Olympique Lyonnais,SUB
223697,R. Gosens,Robin Gosens,Germany,Atalanta,SUB
183569,E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,Cameroon,Paris Saint-Germain,SUB
230767,Renato Sanches,Renato Júnior Luz Sanches,Portugal,FC Bayern München,SUB
222160,Y. Koné,Youssouf Koné,Mali,Olympique Lyonnais,LB
240976,M. Saracchi,Marcelo Josemir Saracchi Pintos,Uruguay,RB Leipzig,SUB
202515,Jesé,Jesé Rodríguez Ruiz,Spain,Paris Saint-Germain,RES
228813,Aleix García,Aleix García Serrano,Spain,Manchester City,SUB
236935,H. Wolf,Hannes Wolf,Austria,RB Leipzig,SUB
240243,Matheus Cunha,Matheus Santos Carneiro Da Cunha,Brazil,RB Leipzig,SUB
228509,J. Reine-Adélaïde,Jeff Reine-Adélaïde,France,Olympique Lyonnais,SUB
194665,S. Ilsanker,Stefan Ilsanker,Austria,RB Leipzig,RES
208165,B. Djimsiti,Berat  Djimsiti,Albania,Atalanta,SUB
158777,P. Tschauner,Philipp Tschauner,Germany,RB Leipzig,RES
181560,M. Yanga-Mbiwa,Mapou Yanga-Mbiwa,France,Olympique Lyonnais,RES
234396,A. Davies,Alphonso Davies,Canada,FC Bayern München,SUB
239744,M. Cuisance,Mickaël Cuisance,France,FC Bayern München,SUB
241497,C. Dagba,Colin Dagba,France,Paris Saint-Germain,SUB
157804,S. Carson,Scott  Carson,England,Manchester City,RES
235863,M. Varnier,Marco Varnier,Italy,Atalanta,RES
251217,Jean Lucas,Jean Lucas de Souza Oliveira,Brazil,Olympique Lyonnais,SUB
